comentario,sentimento,intencao
"Qualquer erro seu programando em Java não é culpa sua, é culpa do Java.",negativo,crítica
agora aprende progamar em C,positivo,pedido
agr faz um mod do minecraft,positivo,pedido
"Para alguém que nunca programou em java, foi bem bom. Alguns adendos...",positivo,dica
Dude I don't even know Portuguese (only english and spanish) but still nice video ❤,positivo,elogio
😂,positivo,elogio
"Fala mais devagar mano kkkkkk, video mt bom.",positivo,dica
2:56 silêncio o programador python está descobrindo o ;,positivo,elogio
Mas a joana devolveu a sua kasa?,neutro,outros
oxekkkkkkkkk o cara criou um Array e disse que era listakkkk,neutro,crítica
Eu sou Java script user,neutro,outros
"Pra quem Ama Java, parabéns por amar um produto de 30 anos...",negativo,crítica
mn tmnc eu vi esse video no começo de mês... finalmente achei,positivo,elogio
"te convido a vir conhecer o Rust, e conhecer a verdadeira dor",neutro,dica
"Blz, agora mete um SpringBoot e um banco de dados pra gente ver um negócio...",positivo,pedido
Parabéns pelo vídeo parceiro ! Muito bom.,positivo,elogio
CARA SEU VIDEO APARECEU DO NADA E EU JA AMEI SEU ESTILO DE EDIÇÃO,positivo,elogio
Melhor canal ❤,positivo,elogio
Lan Code vc vai limpar a imagem do Java. Viva Lan code!!!🎉🎉🎉🎉🎉,positivo,elogio
"AÍ SIM, MEU MANO PREFEITO DE BH!!! TE AMO, MLK CABULOSO❤❤",positivo,elogio
Quando comecei a programar eu usava o bloco de notas😂,positivo,elogio
Para que eu vou trabalhar com Java em pleno 2025...,neutro,crítica
"Java lembra muito c#, do que vc mostro no vídeo pelo menos",neutro,dica
"Eu sendo um mero iniciante no mundo da programação, tentando compreender esse aerógrafos...",neutro,outros
O cara conseguiu me estressar da casa dele - 13:10,negativo,crítica
PHP agora?,neutro,outros
"Ganks anos melhores que o Shini, os cadas viaja 😊",neutro,crítica
MINERVA E AQUELE COLABORADOR QUE DA MAIS PREJUÍZO...,negativo,crítica
Nossa eles ficam especulando tanta coisa sobre o Jerry...,neutro,dica
"O grev não aguenta zoeira, streamer não dá pra ser kkk 😂",positivo,elogio
Mireu vai sofrer com esse vivo keyd... o adc deles é normalzinho!,neutro,crítica
Esa é o cara mais criminoso do cenário...,positivo,elogio
"Absolut tá entendendo, as narrativas fazem parte do cenário...",positivo,dica
Absolute é único que chega a falar a true sobre o mortheus...,positivo,elogio
Atitude braba do tay,positivo,elogio
Não acompanhava o Absolut... Absolut é o famoso sonso...,negativo,crítica
O minerva é muito safado cara...,positivo,elogio
Loud n aceita q tomou pixdiff KKKKKKKKK,positivo,elogio
vks brance ia ser pauleira tambm,neutro,outros
Tay é idolo ja. O cara dá a vida em tudo que faz,positivo,elogio
"tayzao god seloko",positivo,elogio
"Nosso cenário é vergonhoso, tudo pelo conteúdo...",negativo,crítica
"carai desliguei o adblock... e tomei anuncio de 2 minutos",negativo,crítica
"O Tay é mt esforçado pqp...",positivo,elogio
"KKKKKKKKKKKKKKKKKKKKKKKKK o grev",positivo,elogio
"O Grev não ser um dos principais nomes sendo buscados...",positivo,dica
"Ahhh fala sério, dizer que a culpa da Loud... não foi do Shini...",negativo,crítica
"Avááá que o Dynquedo tá falando a favor da Keyd kkkkkk",positivo,elogio
"Mas o Esa não pensa, né? Beleza que o minerva foi carregado...",negativo,crítica
"Ansioso pelo próximo split, se esse foi de 2 times só...",positivo,dica
"Saudades de quando dynkedo era proplayer...",negativo,crítica
"Só não pagar, o cara ta indo duo e ganhando coach...",negativo,crítica
"carai, esinha vai rachar o elenco kkkkkk",positivo,elogio
"A LOUD manter esse sephis como único STAFF depois de todo esse tempo é BIZARRO",negativo,crítica
